,Theme,Nudges
136,Water Saved,"Fix leaks in flushes, taps and waterpipes IOCL- DIGBOI REFINERY has put up the display of LiFE standee on various themes of Save Water at different locations of refinery installations ( Refinery Main Gate, Bazar Gate,CPP Building Entrance,Technical Building,Admin Ofice ( HR Building, Entrance Gate), ETP,NTF) and township (Hospital, Guest House, Clubs). Then  IOCL- DIGBOI REFINERY has senstize the working personnel around this places regarding the concept of Mission LiFE . Total 10 Numbers of standees on five different themes on Save Water has been displayed."
137,Water Saved,"Fix leaks in flushes, taps and waterpipes #SaveWater "
138,Water Saved,"Fix leaks in flushes, taps and waterpipes पानी बचाने के लिए नलों और पानी के पाइपों में रिसाव को ठीक करें"
139,Water Saved,"Fix leaks in flushes, taps and waterpipes RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Green pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 11th April, 2023 #ChooseLiFE #ProPlanetPeople"
140,Water Saved,"Fix leaks in flushes, taps and waterpipes Fix leaks in flushes, taps and waterpipes to save water"
149,Water Saved,"Fix leaks in flushes, taps and waterpipes Banners on saving water was p1aced at 20 Retail Outlets under Coimbatore DO, IOCL. The customers were given phamplets and sensitised on saving water."
150,LiFEStyles Adopted,"Include millets in diets through Anganwadi, Mid-Day meal and PD scheme Lifestyle for Environment 🌏🌿

Sustainable Food Systems Adopted: Prefer locally available seasonal foods 🍊🥦🌽🍅"
151,LiFEStyles Adopted,"Include millets in diets through Anganwadi, Mid-Day meal and PD scheme Digital campaign on the Embassy Social Media handles: Facebook, Instagram and Twitter"
152,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office BPCL organized various Mission LiFE events around its operating locations
155,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office BPCL organized various awareness sessions for its stakeholders.
159,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office HPCL organised Poster making competition for primary school students at Purnea
161,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office HPCL organised â€œKnowledge Sharing Workshop on Petroleum Refineries under the aegis of PNGRB. The participants were made aware of # Mission LiFE â€“ Lifestyle for Environment wherein the participants pledged to make any possible changes in their lifestyles to protect the environment and to inform others of the importance of environment friendly practices.
164,LiFEStyles Adopted,"Initiate and/or join green clubs in your residential area/ school/ office BPCL Conducted LiFE events such as nukkad natak, drawing competitions, poster competitions, distribution of seed balls, discussions and talks at schools, Anganwadis, slum areas etc and received huge response from the different stakeholders."
166,LiFEStyles Adopted,"Initiate and/or join green clubs in your residential area/ school/ office HPCL Lubes SBU organised Nukkad Natak at various public places in Mumbai (Chembur, Lower Parel, Bandra) in local dialect for spreading awareness on Environment protection through Mission LiFE."
167,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office Drawing competitions-Display of LiFe logo-Energy Conservation-” under “Lifestyle for the Environment (LiFe)”
168,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office IOCL- GUJARAT REFINERY has performed the Activity â€œ Drawing competitions-Display of LiFe logo-Energy Conservation-â€ under â€œLifestyle for the Environment (LiFe)â€ has completed in Gujarat Refinery on 26.02.2023 at Gujarat Refinery Township â€œ Spandan Hallâ€
169,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office HPCL disseminated awareness in general public through its official handles in social media platforms.
